"","Pathway"
"Gene1","1"
"Gene2","1"
"Gene3","1"
"Gene4","1"
"Gene5","1"
"Gene6","1"
"Gene7","1"
"Gene8","1"
"Gene9","1"
"Gene10","1"
"Gene11","1"
"Gene12","1"
"Gene13","1"
"Gene14","1"
"Gene15","1"
"Gene16","1"
"Gene17","1"
"Gene18","1"
"Gene19","1"
"Gene20","1"
"Gene21","1"
"Gene22","1"
"Gene23","1"
"Gene24","1"
"Gene25","1"
"Gene26","2"
"Gene27","2"
"Gene28","2"
"Gene29","2"
"Gene30","2"
"Gene31","2"
"Gene32","2"
"Gene33","2"
"Gene34","2"
"Gene35","2"
"Gene36","2"
"Gene37","2"
"Gene38","2"
"Gene39","2"
"Gene40","2"
"Gene41","2"
"Gene42","2"
"Gene43","2"
"Gene44","2"
"Gene45","2"
"Gene46","2"
"Gene47","2"
"Gene48","2"
"Gene49","2"
"Gene50","2"
"Gene51","3"
"Gene52","3"
"Gene53","3"
"Gene54","3"
"Gene55","3"
"Gene56","3"
"Gene57","3"
"Gene58","3"
"Gene59","3"
"Gene60","3"
"Gene61","3"
"Gene62","3"
"Gene63","3"
"Gene64","3"
"Gene65","3"
"Gene66","3"
"Gene67","3"
"Gene68","3"
"Gene69","3"
"Gene70","3"
"Gene71","3"
"Gene72","3"
"Gene73","3"
"Gene74","3"
"Gene75","3"
"Gene76","4"
"Gene77","4"
"Gene78","4"
"Gene79","4"
"Gene80","4"
"Gene81","4"
"Gene82","4"
"Gene83","4"
"Gene84","4"
"Gene85","4"
"Gene86","4"
"Gene87","4"
"Gene88","4"
"Gene89","4"
"Gene90","4"
"Gene91","4"
"Gene92","4"
"Gene93","4"
"Gene94","4"
"Gene95","4"
"Gene96","4"
"Gene97","4"
"Gene98","4"
"Gene99","4"
"Gene100","4"
